지역,Year,발전량
화천,2003,136094
화천,2004,249172
화천,2005,164114
화천,2006,158887
화천,2007,189403
화천,2008,250814
화천,2009,236520
화천,2010,242218
화천,2011,275720
화천,2012,165509
화천,2013,221559
화천,2014,88942.59502
화천,2015,90088
화천,2016,129378
화천,2017,166600.7714
화천,2018,157418
화천,2019,118538
화천,2020,201126
화천,2021,131390
화천,2022,212983
춘천,2003,120270
춘천,2004,145915
춘천,2005,118251
춘천,2006,97729
춘천,2007,116500
춘천,2008,137327
춘천,2009,137260
춘천,2010,155543
춘천,2011,155300
춘천,2012,116181
춘천,2013,128641
춘천,2014,52119
춘천,2015,63451
춘천,2016,86327
춘천,2017,100672.0779
춘천,2018,102505
춘천,2019,73524
춘천,2020,112659
춘천,2021,82581
춘천,2022,123707
의암,2003,169979
의암,2004,168144
의암,2005,151076
의암,2006,133894
의암,2007,148342
의암,2008,143710
의암,2009,150387
의암,2010,163680
의암,2011,162276
의암,2012,138249
의암,2013,133707
의암,2014,91467
의암,2015,69884
의암,2016,101232
의암,2017,119637.8179
의암,2018,131171
의암,2019,97223
의암,2020,113750
의암,2021,102526
의암,2022,148582
청평,2003,306248
청평,2004,294206
청평,2005,286864
청평,2006,234774
청평,2007,268570
청평,2008,247485
청평,2009,250968
청평,2010,290924
청평,2011,264409
청평,2012,289685
청평,2013,311883
청평,2014,169408
청평,2015,131900
청평,2016,201759
청평,2017,237513.2715
청평,2018,280293
청평,2019,194857
청평,2020,242489
청평,2021,210447
청평,2022,311225
섬진강,2003,194613
섬진강,2004,136668
섬진강,2005,140572.1
섬진강,2006,126450.2
섬진강,2007,128130
섬진강,2008,124522.3
섬진강,2009,66936.3
섬진강,2010,128895.3
섬진강,2011,139486.224
섬진강,2012,141253
섬진강,2013,156921
섬진강,2014,78303.771
섬진강,2015,82558
섬진강,2016,61719
섬진강,2017,54865.19703
섬진강,2018,89011.30955
섬진강,2019,75802.3
섬진강,2020,80815.7
섬진강,2021,72409
섬진강,2022,73401
소양강,2003,693106
소양강,2004,622236
소양강,2005,482736
소양강,2006,560055.9
소양강,2007,543462.3
소양강,2008,412945.2
소양강,2009,559255.5
소양강,2010,459061.956
소양강,2011,658646.897
소양강,2012,424501
소양강,2013,591192
소양강,2014,356865.825
소양강,2015,159597
소양강,2016,323910
소양강,2017,398147.9585
소양강,2018,505200.24
소양강,2019,352275.6743
소양강,2020,558624.9336
소양강,2021,318149
소양강,2022,608114
충주,2003,1149253
충주,2004,1014284
충주,2005,897236
충주,2006,813801.578
충주,2007,847017.601
충주,2008,604491.417
충주,2009,519470.985
충주,2010,746693.467
충주,2011,1137782.776
충주,2012,817044
충주,2013,833857
충주,2014,464747.812
충주,2015,232731
충주,2016,503576
충주,2017,549021.1369
충주,2018,672523.731
충주,2019,494974.9064
충주,2020,783302.881
충주,2021,585863
충주,2022,691864
대청,2003,358009
대청,2004,234037
대청,2005,206244
대청,2006,172138.374
대청,2007,158959.344
대청,2008,99267.698
대청,2009,87085.584
대청,2010,162732.72
대청,2011,219350.462
대청,2012,215495
대청,2013,158209
대청,2014,103329.032
대청,2015,105401
대청,2016,99651
대청,2017,97413.1296
대청,2018,163702.915
대청,2019,110521.5252
대청,2020,201457.008
대청,2021,123119
대청,2022,100361
안동,2003,231226
안동,2004,183497
안동,2005,91764
안동,2006,153569.59
안동,2007,106735.386
안동,2008,104606.51
안동,2009,54369.362
안동,2010,75285.2
안동,2011,168622.787
안동,2012,125036
안동,2013,107379
안동,2014,56751.42
안동,2015,64976
안동,2016,66251
안동,2017,72406.79286
안동,2018,75017.964
안동,2019,104368.9672
안동,2020,123202.3099
안동,2021,129320
안동,2022,109440
합천,2003,342517
합천,2004,211942
합천,2005,169378
합천,2006,191050.83
합천,2007,151214.515
합천,2008,146462.004
합천,2009,51258.24
합천,2010,141806.88
합천,2011,212566.111
합천,2012,203860
합천,2013,191872
합천,2014,103360.84
합천,2015,127148
합천,2016,121325
합천,2017,88297.36916
합천,2018,65316.24
합천,2019,119498.1175
합천,2020,178451.46
합천,2021,125442
합천,2022,89276
임하,2003,183708
임하,2004,128506
임하,2005,45587
임하,2006,51135.812
임하,2007,41441.79
임하,2008,16731.594
임하,2009,15826.993
임하,2010,35393.186
임하,2011,62751.274
임하,2012,55960
임하,2013,44690
임하,2014,36859.2
임하,2015,23425
임하,2016,25555
임하,2017,26048.79913
임하,2018,42629.6
임하,2019,41020.4
임하,2020,81268.44
임하,2021,31892
임하,2022,20534
주암,2003,118745
주암,2004,104859
주암,2005,95235
주암,2006,73446.06
주암,2007,78906.264
주암,2008,55429.96
주암,2009,49139.5
주암,2010,84901.38
주암,2011,87042.154
주암,2012,68904
주암,2013,77028
주암,2014,81890.526
주암,2015,63338
주암,2016,64658
주암,2017,39044.60244
주암,2018,42607.708
주암,2019,58782.90097
주암,2020,63536.832
주암,2021,48193
주암,2022,37145
용담,2003,142739
용담,2004,169692
용담,2005,152628
용담,2006,109282.6
용담,2007,139835.3
용담,2008,112964.3
용담,2009,63861.7
용담,2010,115379.6
용담,2011,148561.248
용담,2012,168173
용담,2013,164708
용담,2014,116649
용담,2015,110257
용담,2016,84510
용담,2017,75825.52834
용담,2018,79575.7
용담,2019,105366.328
용담,2020,140501.671
용담,2021,101490
용담,2022,90744
